cod_ibge,municipio,uf,caminho
5212956,Matrinchã,GO,GO/ATM_5212956_Matrincha_GO.pdf
5213004,Maurilândia,GO,GO/ATM_5213004_Maurilandia_GO.pdf
5213053,Mimoso de Goiás,GO,GO/ATM_5213053_Mimoso_de_Goias_GO.pdf
5213087,Minaçu,GO,GO/ATM_5213087_Minacu_GO.pdf
5213103,Mineiros,GO,GO/ATM_5213103_Mineiros_GO.pdf
5213400,Moiporá,GO,GO/ATM_5213400_Moipora_GO.pdf
5213509,Monte Alegre de Goiás,GO,GO/ATM_5213509_Monte_Alegre_de_Goias_GO.pdf
5213707,Montes Claros de Goiás,GO,GO/ATM_5213707_Montes_Claros_de_Goias_GO.pdf
5213756,Montividiu,GO,GO/ATM_5213756_Montividiu_GO.pdf
5213772,Montividiu do Norte,GO,GO/ATM_5213772_Montividiu_do_Norte_GO.pdf
5213806,Morrinhos,GO,GO/ATM_5213806_Morrinhos_GO.pdf
5213855,Morro Agudo de Goiás,GO,GO/ATM_5213855_Morro_Agudo_de_Goias_GO.pdf
5213905,Mossâmedes,GO,GO/ATM_5213905_Mossamedes_GO.pdf
5214002,Mozarlândia,GO,GO/ATM_5214002_Mozarlandia_GO.pdf
5214051,Mundo Novo,GO,GO/ATM_5214051_Mundo_Novo_GO.pdf
5214101,Mutunópolis,GO,GO/ATM_5214101_Mutunopolis_GO.pdf
5214408,Nazário,GO,GO/ATM_5214408_Nazario_GO.pdf
5214507,Nerópolis,GO,GO/ATM_5214507_Neropolis_GO.pdf
5214606,Niquelândia,GO,GO/ATM_5214606_Niquelandia_GO.pdf
5214705,Nova América,GO,GO/ATM_5214705_Nova_America_GO.pdf
5214804,Nova Aurora,GO,GO/ATM_5214804_Nova_Aurora_GO.pdf
5214838,Nova Crixás,GO,GO/ATM_5214838_Nova_Crixas_GO.pdf
5214861,Nova Glória,GO,GO/ATM_5214861_Nova_Gloria_GO.pdf
5214879,Nova Iguaçu de Goiás,GO,GO/ATM_5214879_Nova_Iguacu_de_Goias_GO.pdf
5214903,Nova Roma,GO,GO/ATM_5214903_Nova_Roma_GO.pdf
5215009,Nova Veneza,GO,GO/ATM_5215009_Nova_Veneza_GO.pdf
5215207,Novo Brasil,GO,GO/ATM_5215207_Novo_Brasil_GO.pdf
5215231,Novo Gama,GO,GO/ATM_5215231_Novo_Gama_GO.pdf
5215256,Novo Planalto,GO,GO/ATM_5215256_Novo_Planalto_GO.pdf
5215306,Orizona,GO,GO/ATM_5215306_Orizona_GO.pdf
5215405,Ouro Verde de Goiás,GO,GO/ATM_5215405_Ouro_Verde_de_Goias_GO.pdf
5215504,Ouvidor,GO,GO/ATM_5215504_Ouvidor_GO.pdf
5215603,Padre Bernardo,GO,GO/ATM_5215603_Padre_Bernardo_GO.pdf
5215652,Palestina de Goiás,GO,GO/ATM_5215652_Palestina_de_Goias_GO.pdf
5215702,Palmeiras de Goiás,GO,GO/ATM_5215702_Palmeiras_de_Goias_GO.pdf
5215801,Palmelo,GO,GO/ATM_5215801_Palmelo_GO.pdf
5215900,Palminópolis,GO,GO/ATM_5215900_Palminopolis_GO.pdf
5216007,Panamá,GO,GO/ATM_5216007_Panama_GO.pdf
5216304,Paranaiguara,GO,GO/ATM_5216304_Paranaiguara_GO.pdf
5216403,Paraúna,GO,GO/ATM_5216403_Parauna_GO.pdf
5216452,Perolândia,GO,GO/ATM_5216452_Perolandia_GO.pdf
5216809,Petrolina de Goiás,GO,GO/ATM_5216809_Petrolina_de_Goias_GO.pdf
5216908,Pilar de Goiás,GO,GO/ATM_5216908_Pilar_de_Goias_GO.pdf
5217104,Piracanjuba,GO,GO/ATM_5217104_Piracanjuba_GO.pdf
5217203,Piranhas,GO,GO/ATM_5217203_Piranhas_GO.pdf
5217302,Pirenópolis,GO,GO/ATM_5217302_Pirenopolis_GO.pdf
5217401,Pires do Rio,GO,GO/ATM_5217401_Pires_do_Rio_GO.pdf
5217609,Planaltina,GO,GO/ATM_5217609_Planaltina_GO.pdf
5217708,Pontalina,GO,GO/ATM_5217708_Pontalina_GO.pdf
5218003,Porangatu,GO,GO/ATM_5218003_Porangatu_GO.pdf
5218052,Porteirão,GO,GO/ATM_5218052_Porteirao_GO.pdf
5218102,Portelândia,GO,GO/ATM_5218102_Portelandia_GO.pdf
5218300,Posse,GO,GO/ATM_5218300_Posse_GO.pdf
5218391,Professor Jamil,GO,GO/ATM_5218391_Professor_Jamil_GO.pdf
5218508,Quirinópolis,GO,GO/ATM_5218508_Quirinopolis_GO.pdf
5218607,Rialma,GO,GO/ATM_5218607_Rialma_GO.pdf
5218706,Rianápolis,GO,GO/ATM_5218706_Rianapolis_GO.pdf
5218789,Rio Quente,GO,GO/ATM_5218789_Rio_Quente_GO.pdf
5218805,Rio Verde,GO,GO/ATM_5218805_Rio_Verde_GO.pdf
5218904,Rubiataba,GO,GO/ATM_5218904_Rubiataba_GO.pdf
5219001,Sanclerlândia,GO,GO/ATM_5219001_Sanclerlandia_GO.pdf
5219100,Santa Bárbara de Goiás,GO,GO/ATM_5219100_Santa_Barbara_de_Goias_GO.pdf
5219209,Santa Cruz de Goiás,GO,GO/ATM_5219209_Santa_Cruz_de_Goias_GO.pdf
5219258,Santa Fé de Goiás,GO,GO/ATM_5219258_Santa_Fe_de_Goias_GO.pdf
5219308,Santa Helena de Goiás,GO,GO/ATM_5219308_Santa_Helena_de_Goias_GO.pdf
5219357,Santa Isabel,GO,GO/ATM_5219357_Santa_Isabel_GO.pdf
5219407,Santa Rita do Araguaia,GO,GO/ATM_5219407_Santa_Rita_do_Araguaia_GO.pdf
5219456,Santa Rita do Novo Destino,GO,GO/ATM_5219456_Santa_Rita_do_Novo_Destino_GO.pdf
5219506,Santa Rosa de Goiás,GO,GO/ATM_5219506_Santa_Rosa_de_Goias_GO.pdf
5219605,Santa Tereza de Goiás,GO,GO/ATM_5219605_Santa_Tereza_de_Goias_GO.pdf
5219704,Santa Terezinha de Goiás,GO,GO/ATM_5219704_Santa_Terezinha_de_Goias_GO.pdf
5219712,Santo Antônio da Barra,GO,GO/ATM_5219712_Santo_Antonio_da_Barra_GO.pdf
5219738,Santo Antônio de Goiás,GO,GO/ATM_5219738_Santo_Antonio_de_Goias_GO.pdf
5219753,Santo Antônio do Descoberto,GO,GO/ATM_5219753_Santo_Antonio_do_Descoberto_GO.pdf
5220454,Senador Canedo,GO,GO/ATM_5220454_Senador_Canedo_GO.pdf
5220504,Serranópolis,GO,GO/ATM_5220504_Serranopolis_GO.pdf
5220603,Silvânia,GO,GO/ATM_5220603_Silvania_GO.pdf
5220686,Simolândia,GO,GO/ATM_5220686_Simolandia_GO.pdf
5219803,São Domingos,GO,GO/ATM_5219803_Sao_Domingos_GO.pdf
5219902,São Francisco de Goiás,GO,GO/ATM_5219902_Sao_Francisco_de_Goias_GO.pdf
5220009,São João d'Aliança,GO,GO/ATM_5220009_Sao_Joao_d_Alianca_GO.pdf
5220058,São João da Paraúna,GO,GO/ATM_5220058_Sao_Joao_da_Parauna_GO.pdf
5220108,São Luís de Montes Belos,GO,GO/ATM_5220108_Sao_Luis_de_Montes_Belos_GO.pdf
5220157,São Luíz do Norte,GO,GO/ATM_5220157_Sao_Luiz_do_Norte_GO.pdf
